epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,234.79,1.46605,2.87685,1.41951,0.59867,0.4823,0.48927,0.25719,1.52658,1.69184,1.33553,0.00333067,0.00333067,0.00333067
2,466.522,1.38518,1.82641,1.32605,0.62353,0.49232,0.51698,0.28268,1.47372,1.58226,1.30578,0.00653205,0.00653205,0.00653205
3,694.256,1.43181,1.64514,1.346,0.56726,0.43663,0.44814,0.23195,1.60605,1.78438,1.38598,0.00960144,0.00960144,0.00960144
4,920.127,1.43751,1.57897,1.35866,0.64245,0.52159,0.55516,0.30525,1.4736,1.42581,1.2847,0.009406,0.009406,0.009406
5,1145.38,1.36161,1.44069,1.31387,0.68036,0.54648,0.59518,0.34253,1.42728,1.33711,1.24259,0.009208,0.009208,0.009208
6,1373.96,1.31446,1.35389,1.28394,0.72209,0.56024,0.63058,0.37292,1.35811,1.23357,1.20572,0.00901,0.00901,0.00901
7,1602.61,1.28771,1.3043,1.26427,0.73283,0.57842,0.64797,0.38993,1.31278,1.19993,1.17316,0.008812,0.008812,0.008812
8,1830.93,1.26105,1.26071,1.24724,0.74336,0.59962,0.6702,0.40885,1.28782,1.13522,1.168,0.008614,0.008614,0.008614
9,2059.51,1.24051,1.23341,1.23573,0.74043,0.61264,0.67667,0.41174,1.26993,1.11776,1.15364,0.008416,0.008416,0.008416
10,2284.66,1.22001,1.19747,1.22141,0.74804,0.62265,0.69463,0.43107,1.23511,1.07173,1.13095,0.008218,0.008218,0.008218
11,2508.99,1.21135,1.17633,1.21559,0.75245,0.63632,0.70668,0.44197,1.21941,1.04943,1.11778,0.00802,0.00802,0.00802
12,2734.04,1.20027,1.15555,1.20783,0.76342,0.64808,0.71955,0.45419,1.20303,1.02043,1.11164,0.007822,0.007822,0.007822
13,2959.08,1.18487,1.13906,1.19916,0.77355,0.64305,0.71989,0.45991,1.18835,1.00768,1.10492,0.007624,0.007624,0.007624
14,3185.73,1.17664,1.12136,1.19183,0.76513,0.66112,0.7292,0.4663,1.17716,0.99215,1.09337,0.007426,0.007426,0.007426
15,3410.98,1.16261,1.10621,1.18532,0.76289,0.66426,0.73561,0.47365,1.1612,0.97838,1.0851,0.007228,0.007228,0.007228
16,3635.77,1.15643,1.08608,1.18033,0.7733,0.66269,0.73905,0.47746,1.15727,0.96619,1.08299,0.00703,0.00703,0.00703
17,3861.73,1.14634,1.07591,1.17382,0.77888,0.6631,0.74164,0.48151,1.14029,0.95665,1.07101,0.006832,0.006832,0.006832
18,4084.27,1.13582,1.06555,1.16875,0.78029,0.67503,0.74631,0.48409,1.13959,0.94844,1.0684,0.006634,0.006634,0.006634
19,4310.37,1.12715,1.05441,1.1639,0.77626,0.6774,0.74771,0.48687,1.13572,0.93937,1.0665,0.006436,0.006436,0.006436
20,4536.59,1.12144,1.03969,1.15985,0.77563,0.67891,0.75174,0.4902,1.13419,0.92753,1.0651,0.006238,0.006238,0.006238
21,4762.96,1.11919,1.03708,1.15851,0.78387,0.68117,0.75278,0.4931,1.13131,0.92136,1.06307,0.00604,0.00604,0.00604
22,4988.98,1.11251,1.02004,1.154,0.79391,0.67838,0.75579,0.49628,1.13004,0.91571,1.06499,0.005842,0.005842,0.005842
23,5215.06,1.10324,1.00973,1.14859,0.79271,0.68316,0.7591,0.49847,1.12311,0.91173,1.06127,0.005644,0.005644,0.005644
24,5440.59,1.09208,1.00049,1.14136,0.79509,0.6844,0.76155,0.50031,1.1212,0.90694,1.05951,0.005446,0.005446,0.005446
25,5666.72,1.08886,0.99316,1.14048,0.80307,0.68391,0.76279,0.50139,1.11792,0.9036,1.05657,0.005248,0.005248,0.005248
26,5891.8,1.08064,0.98109,1.13664,0.79866,0.6863,0.76405,0.50331,1.11489,0.89996,1.05529,0.00505,0.00505,0.00505
27,6118.51,1.07453,0.9666,1.133,0.80082,0.68708,0.76467,0.50537,1.11352,0.89496,1.05448,0.004852,0.004852,0.004852
28,6342.39,1.06833,0.9699,1.12943,0.80239,0.68808,0.76673,0.5066,1.11112,0.89285,1.05251,0.004654,0.004654,0.004654
29,6569.91,1.06597,0.95647,1.1272,0.79798,0.69287,0.76788,0.50775,1.1092,0.8907,1.05157,0.004456,0.004456,0.004456
30,6792.74,1.05691,0.94531,1.12456,0.80205,0.69095,0.76904,0.50857,1.10661,0.88897,1.05011,0.004258,0.004258,0.004258
31,7020.74,1.04982,0.93781,1.12239,0.80401,0.69082,0.77053,0.51011,1.10431,0.88643,1.04872,0.00406,0.00406,0.00406
32,7248.41,1.0475,0.92825,1.11768,0.80522,0.69434,0.77226,0.51145,1.10293,0.88408,1.04734,0.003862,0.003862,0.003862
33,7474.03,1.03949,0.92587,1.11433,0.80115,0.69542,0.77306,0.51264,1.10118,0.8811,1.04593,0.003664,0.003664,0.003664
34,7697.97,1.03884,0.91837,1.11314,0.80511,0.69556,0.7741,0.51335,1.0997,0.87834,1.04459,0.003466,0.003466,0.003466
35,7925.9,1.0293,0.89969,1.10773,0.80324,0.69728,0.77471,0.51449,1.09864,0.8759,1.0436,0.003268,0.003268,0.003268
36,8152.47,1.02487,0.90081,1.10576,0.80578,0.69773,0.7755,0.51538,1.09806,0.87333,1.04273,0.00307,0.00307,0.00307
37,8379.53,1.01682,0.88399,1.10091,0.80706,0.69813,0.77656,0.5164,1.0972,0.87109,1.04168,0.002872,0.002872,0.002872
38,8606.19,1.0136,0.8793,1.10063,0.80981,0.69824,0.77815,0.51765,1.09539,0.86905,1.04025,0.002674,0.002674,0.002674
39,8833.51,1.00253,0.86955,1.09416,0.81161,0.69922,0.77876,0.51913,1.09417,0.86702,1.03938,0.002476,0.002476,0.002476
40,9058.4,0.99522,0.85783,1.08849,0.81001,0.70167,0.77929,0.52026,1.09229,0.86578,1.0382,0.002278,0.002278,0.002278
41,9286.03,1.05931,0.84842,1.10861,0.8129,0.70251,0.78049,0.52155,1.09196,0.86301,1.03785,0.00208,0.00208,0.00208
42,9511.34,1.04528,0.8311,1.09999,0.81132,0.70309,0.78156,0.52304,1.09097,0.86025,1.03694,0.001882,0.001882,0.001882
43,9736,1.03232,0.81195,1.09147,0.81062,0.7056,0.78271,0.52458,1.08949,0.85864,1.03541,0.001684,0.001684,0.001684
44,9960.87,1.02182,0.79632,1.08612,0.81288,0.70714,0.78415,0.52543,1.08861,0.85602,1.03448,0.001486,0.001486,0.001486
45,10186,1.01003,0.78156,1.08115,0.81172,0.70888,0.7848,0.52656,1.08745,0.85328,1.03346,0.001288,0.001288,0.001288
46,10411,1.00044,0.77048,1.07606,0.81181,0.71001,0.7856,0.52787,1.08563,0.85103,1.03236,0.00109,0.00109,0.00109
47,10637.1,0.99159,0.76058,1.07102,0.80899,0.71313,0.78694,0.52934,1.08366,0.84973,1.03123,0.000892,0.000892,0.000892
48,10860,0.97909,0.74358,1.06511,0.80849,0.71384,0.78728,0.53055,1.08203,0.84696,1.03001,0.000694,0.000694,0.000694
49,11084.7,0.96804,0.73023,1.05647,0.80891,0.71622,0.78852,0.53187,1.08084,0.84396,1.02902,0.000496,0.000496,0.000496
50,11309.8,0.95916,0.71852,1.05344,0.81176,0.71643,0.79,0.53302,1.07916,0.84152,1.02752,0.000298,0.000298,0.000298
