epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,655.491,1.51269,2.93861,1.38462,0.55989,0.47063,0.45865,0.23153,1.56213,1.89609,1.35949,0.00333147,0.00333147,0.00333147
2,1322.57,1.44389,1.76881,1.30503,0.64502,0.49249,0.53558,0.30353,1.49627,1.53429,1.28653,0.00653284,0.00653284,0.00653284
3,1979.08,1.49193,1.62501,1.33758,0.60525,0.48256,0.5049,0.26661,1.57075,1.64973,1.34698,0.00960221,0.00960221,0.00960221
4,2630.83,1.48376,1.54824,1.33046,0.68796,0.5355,0.58804,0.3328,1.44125,1.39025,1.28906,0.009406,0.009406,0.009406
5,3283.88,1.40576,1.40658,1.28184,0.69012,0.56835,0.6201,0.36914,1.36472,1.25719,1.21929,0.009208,0.009208,0.009208
6,3942.02,1.35989,1.32546,1.25276,0.71925,0.58963,0.65263,0.39463,1.30809,1.17855,1.1866,0.00901,0.00901,0.00901
7,4591.02,1.32316,1.26541,1.23285,0.73235,0.60915,0.67201,0.40991,1.27938,1.12974,1.16487,0.008812,0.008812,0.008812
8,5263.74,1.30232,1.22347,1.21542,0.73643,0.62651,0.68555,0.42566,1.24848,1.09425,1.14908,0.008614,0.008614,0.008614
9,5939.58,1.27636,1.19107,1.20175,0.76274,0.6272,0.70012,0.43475,1.23996,1.06268,1.13759,0.008416,0.008416,0.008416
10,6591.2,1.26423,1.1672,1.19373,0.76859,0.63349,0.70838,0.44684,1.21355,1.03468,1.12002,0.008218,0.008218,0.008218
11,7241.72,1.24843,1.14899,1.18552,0.77334,0.6336,0.71557,0.45448,1.19243,1.01619,1.10576,0.00802,0.00802,0.00802
12,7893.07,1.23288,1.12165,1.17764,0.77015,0.64757,0.72096,0.46013,1.18812,0.99809,1.10305,0.007822,0.007822,0.007822
13,8549.13,1.22308,1.10686,1.17173,0.78777,0.64455,0.72681,0.46451,1.18007,0.98652,1.09907,0.007624,0.007624,0.007624
14,9205.09,1.21108,1.09086,1.16252,0.77917,0.66013,0.73129,0.47035,1.16716,0.97391,1.08901,0.007426,0.007426,0.007426
15,9854.55,1.20101,1.07316,1.15841,0.78499,0.66137,0.73596,0.47558,1.16063,0.96338,1.08599,0.007228,0.007228,0.007228
16,10540.6,1.19056,1.05962,1.15139,0.79086,0.6584,0.73773,0.4775,1.15597,0.9583,1.08243,0.00703,0.00703,0.00703
17,11199.9,1.188,1.05803,1.15054,0.79288,0.66025,0.74147,0.4794,1.15208,0.95256,1.0803,0.006832,0.006832,0.006832
18,11850.3,1.17935,1.03976,1.14702,0.79655,0.65859,0.74297,0.48181,1.14926,0.94699,1.079,0.006634,0.006634,0.006634
19,12498.1,1.16998,1.02757,1.14049,0.80108,0.65824,0.74426,0.4831,1.14663,0.94118,1.0779,0.006436,0.006436,0.006436
20,13150.1,1.15862,1.01883,1.13528,0.80951,0.65739,0.74542,0.48496,1.14301,0.9375,1.07605,0.006238,0.006238,0.006238
21,13798.6,1.15451,1.00853,1.13302,0.81008,0.65964,0.74795,0.48699,1.13998,0.93239,1.07409,0.00604,0.00604,0.00604
22,14453.8,1.15272,1.00542,1.13096,0.81134,0.66165,0.74981,0.48935,1.13597,0.92803,1.07161,0.005842,0.005842,0.005842
23,15126.8,1.14062,0.98893,1.12472,0.8118,0.66236,0.7517,0.49164,1.13344,0.92362,1.06973,0.005644,0.005644,0.005644
24,15797.3,1.13381,0.98407,1.12323,0.80919,0.66527,0.7524,0.49271,1.13079,0.9197,1.06811,0.005446,0.005446,0.005446
