epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,882.687,1.5406,2.86182,1.33191,0.59923,0.47161,0.47651,0.25282,1.55684,1.68307,1.32818,0.003332,0.003332,0.003332
2,1781.71,1.46065,1.62154,1.25629,0.6293,0.49344,0.52779,0.28462,1.54028,1.56886,1.30563,0.00653336,0.00653336,0.00653336
3,2675.49,1.49913,1.49232,1.26931,0.61735,0.50127,0.53115,0.28863,1.51711,1.4991,1.30785,0.00960272,0.00960272,0.00960272
4,3569.05,1.48928,1.43223,1.26535,0.70128,0.54242,0.59966,0.34709,1.40052,1.29146,1.22484,0.009406,0.009406,0.009406
5,4462.21,1.39768,1.28664,1.21955,0.70355,0.58352,0.63237,0.3768,1.33262,1.19891,1.19214,0.009208,0.009208,0.009208
6,5322.79,1.34884,1.21398,1.19143,0.74302,0.60098,0.66389,0.40186,1.29787,1.12816,1.16164,0.00901,0.00901,0.00901
7,6207.18,1.31717,1.16601,1.17406,0.7301,0.61531,0.68225,0.41847,1.26764,1.08458,1.14476,0.008812,0.008812,0.008812
8,7098.42,1.29255,1.13268,1.1641,0.74235,0.6353,0.69517,0.43081,1.24072,1.05161,1.1287,0.008614,0.008614,0.008614
9,7991.39,1.27334,1.10793,1.15263,0.74508,0.63941,0.70406,0.43885,1.22562,1.02924,1.11399,0.008416,0.008416,0.008416
10,8880.62,1.25637,1.0877,1.14594,0.75827,0.63983,0.70799,0.44385,1.21533,1.01197,1.10809,0.008218,0.008218,0.008218
11,9766.42,1.24494,1.06554,1.13705,0.77146,0.63796,0.71347,0.44877,1.20505,0.99716,1.10245,0.00802,0.00802,0.00802
12,10665.1,1.22909,1.04739,1.12948,0.76805,0.64326,0.71564,0.45292,1.19781,0.98693,1.09822,0.007822,0.007822,0.007822
13,11526.8,1.22082,1.03351,1.12601,0.76494,0.64601,0.71832,0.45593,1.19242,0.98113,1.09492,0.007624,0.007624,0.007624
14,12424.2,1.20833,1.018,1.11925,0.76539,0.64723,0.71991,0.45864,1.18855,0.97533,1.09291,0.007426,0.007426,0.007426
15,13322.6,1.19674,1.00541,1.11357,0.76795,0.65103,0.72355,0.46077,1.18499,0.97022,1.09061,0.007228,0.007228,0.007228
16,14218.3,1.19257,0.99788,1.11127,0.77164,0.64937,0.72469,0.4624,1.1822,0.96694,1.08911,0.00703,0.00703,0.00703
17,15109.2,1.18347,0.98952,1.108,0.77181,0.65248,0.72618,0.46426,1.17904,0.96135,1.08701,0.006832,0.006832,0.006832
18,16002.5,1.1755,0.97679,1.1052,0.77287,0.65384,0.7281,0.46588,1.17685,0.95586,1.08527,0.006634,0.006634,0.006634
19,16880.9,1.1644,0.96379,1.09811,0.78282,0.65208,0.73075,0.46772,1.1742,0.95275,1.08373,0.006436,0.006436,0.006436
20,17742.4,1.16142,0.95634,1.09644,0.78455,0.65429,0.73278,0.4701,1.17194,0.94775,1.08202,0.006238,0.006238,0.006238
21,18636.5,1.14985,0.94852,1.09346,0.78448,0.65502,0.73414,0.47196,1.16883,0.94239,1.07999,0.00604,0.00604,0.00604
22,19527.3,1.14606,0.94186,1.09122,0.77829,0.66229,0.73668,0.47426,1.16598,0.93799,1.07841,0.005842,0.005842,0.005842
23,20420.6,1.13642,0.92776,1.087,0.77721,0.66653,0.73977,0.47652,1.16364,0.93303,1.07685,0.005644,0.005644,0.005644
24,21319.3,1.13155,0.92261,1.08309,0.78145,0.66523,0.74151,0.47845,1.1615,0.92964,1.07524,0.005446,0.005446,0.005446
25,22210.1,1.12924,0.92068,1.08147,0.78075,0.66577,0.74349,0.48084,1.15769,0.92577,1.07257,0.005248,0.005248,0.005248
26,23094.8,1.11885,0.90434,1.07759,0.77797,0.67154,0.74559,0.48288,1.15544,0.9223,1.07096,0.00505,0.00505,0.00505
27,23968.1,1.11527,0.90166,1.07541,0.77655,0.67547,0.74743,0.48488,1.15371,0.91781,1.06958,0.004852,0.004852,0.004852
28,24865.7,1.10868,0.89405,1.07395,0.78509,0.67384,0.74984,0.48688,1.1515,0.9135,1.06825,0.004654,0.004654,0.004654
29,25761.9,1.10105,0.88414,1.06984,0.78567,0.67698,0.75228,0.48859,1.14891,0.90924,1.06614,0.004456,0.004456,0.004456
30,26655.8,1.09217,0.87484,1.06591,0.78698,0.67763,0.75394,0.49065,1.14588,0.90479,1.06386,0.004258,0.004258,0.004258
31,27555.8,1.08641,0.86981,1.06299,0.7894,0.67603,0.75568,0.49296,1.14306,0.90003,1.0621,0.00406,0.00406,0.00406
32,28450.5,1.07901,0.8578,1.05981,0.79301,0.67908,0.75809,0.49544,1.14009,0.89498,1.05991,0.003862,0.003862,0.003862
33,29330.3,1.07506,0.85547,1.0581,0.7919,0.68062,0.75931,0.49805,1.13712,0.89037,1.05795,0.003664,0.003664,0.003664
34,30208.1,1.06733,0.84434,1.05517,0.79445,0.68182,0.76119,0.49994,1.13442,0.88576,1.05632,0.003466,0.003466,0.003466
35,31100.7,1.05985,0.83867,1.05203,0.79008,0.6866,0.76264,0.50174,1.13261,0.88107,1.05497,0.003268,0.003268,0.003268
36,31998.6,1.05167,0.8285,1.04929,0.78636,0.68914,0.76402,0.50382,1.12937,0.87691,1.05287,0.00307,0.00307,0.00307
37,32895.7,1.04505,0.82231,1.04498,0.78858,0.68913,0.76593,0.50556,1.12693,0.87284,1.05079,0.002872,0.002872,0.002872
38,33788.7,1.04306,0.81892,1.0459,0.79078,0.69111,0.76829,0.50708,1.12423,0.86825,1.04848,0.002674,0.002674,0.002674
39,34679.9,1.03351,0.80549,1.04062,0.7915,0.69498,0.77037,0.50916,1.12095,0.86311,1.04587,0.002476,0.002476,0.002476
40,35545.2,1.02386,0.7995,1.03737,0.79305,0.69594,0.77136,0.51066,1.118,0.85915,1.04356,0.002278,0.002278,0.002278
41,36443.9,1.05649,0.76926,1.03525,0.79833,0.69556,0.77329,0.51253,1.11464,0.85566,1.04098,0.00208,0.00208,0.00208
42,37339.3,1.03964,0.7515,1.02985,0.79804,0.69705,0.77454,0.51395,1.11137,0.85178,1.03919,0.001882,0.001882,0.001882
43,38224.8,1.02576,0.73836,1.02372,0.8001,0.69925,0.77643,0.51616,1.10755,0.84748,1.03687,0.001684,0.001684,0.001684
44,38869.7,1.01649,0.72665,1.01908,0.80096,0.70057,0.77843,0.51832,1.10485,0.84295,1.03475,0.001486,0.001486,0.001486
45,39309.2,1.00007,0.70939,1.01236,0.80379,0.70187,0.78048,0.52027,1.10292,0.83946,1.03351,0.001288,0.001288,0.001288
46,39743.3,0.99034,0.69766,1.00903,0.80982,0.70095,0.78157,0.52179,1.10036,0.8354,1.03146,0.00109,0.00109,0.00109
47,40181.2,0.97601,0.68495,1.00343,0.80975,0.70446,0.78497,0.52418,1.09881,0.83145,1.03042,0.000892,0.000892,0.000892
48,40618.9,0.96143,0.67033,0.9973,0.81005,0.70733,0.78587,0.52598,1.09662,0.82709,1.02888,0.000694,0.000694,0.000694
49,41059,0.95014,0.65485,0.99256,0.81331,0.70886,0.78859,0.52784,1.0942,0.8228,1.02695,0.000496,0.000496,0.000496
50,41498.3,0.93837,0.64365,0.98837,0.81472,0.70938,0.78902,0.52924,1.09227,0.81837,1.02534,0.000298,0.000298,0.000298
