epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1104.6,1.19881,2.05009,1.25806,0.69552,0.54053,0.58707,0.34622,1.36552,1.36338,1.19083,0.00333272,0.00333272,0.00333272
2,2229.98,1.12532,1.19247,1.17994,0.75765,0.59329,0.66086,0.40727,1.25199,1.13665,1.1294,0.00653406,0.00653406,0.00653406
3,3315.33,1.14226,1.13438,1.18953,0.75266,0.5962,0.66238,0.41026,1.23852,1.11461,1.13032,0.00960341,0.00960341,0.00960341
4,4398.98,1.1138,1.07536,1.174,0.76734,0.60656,0.6802,0.43048,1.20371,1.05856,1.10707,0.009406,0.009406,0.009406
5,5468.26,1.05492,0.98491,1.14058,0.77674,0.61232,0.69124,0.44247,1.178,1.03332,1.0917,0.009208,0.009208,0.009208
6,6547.37,1.02054,0.93798,1.1229,0.77922,0.61615,0.69609,0.44878,1.1658,1.02333,1.08459,0.00901,0.00901,0.00901
7,7623.6,1.00155,0.90447,1.11032,0.78138,0.61872,0.69949,0.45354,1.15729,1.0183,1.0788,0.008812,0.008812,0.008812
8,8715.42,0.98796,0.88182,1.1025,0.78283,0.62208,0.70312,0.45771,1.1494,1.01369,1.07345,0.008614,0.008614,0.008614
9,9796.69,0.97812,0.86405,1.09616,0.78519,0.62511,0.70837,0.46287,1.14095,1.00311,1.0679,0.008416,0.008416,0.008416
10,10868.9,0.96508,0.84876,1.08923,0.78816,0.63081,0.71509,0.46891,1.13255,0.98555,1.06242,0.008218,0.008218,0.008218
11,11956.9,0.95907,0.83884,1.08695,0.79273,0.63662,0.7217,0.47466,1.12388,0.96758,1.05628,0.00802,0.00802,0.00802
12,13038.6,0.95028,0.82633,1.08198,0.79422,0.64507,0.7287,0.48067,1.1171,0.94715,1.05133,0.007822,0.007822,0.007822
13,14139.7,0.94634,0.82059,1.07906,0.79605,0.65147,0.73486,0.48593,1.1106,0.92771,1.04617,0.007624,0.007624,0.007624
14,15208.5,0.93932,0.80911,1.07574,0.79676,0.65794,0.74035,0.49098,1.10517,0.91076,1.04211,0.007426,0.007426,0.007426
15,16290,0.93435,0.80358,1.07283,0.79759,0.66373,0.74544,0.49547,1.09965,0.89665,1.038,0.007228,0.007228,0.007228
16,17369.6,0.92737,0.79306,1.06987,0.80016,0.66826,0.74955,0.49935,1.09527,0.88421,1.03478,0.00703,0.00703,0.00703
17,18445.8,0.92048,0.78511,1.06541,0.80574,0.66924,0.75354,0.50276,1.09024,0.87426,1.03127,0.006832,0.006832,0.006832
18,19531.1,0.9195,0.7798,1.0644,0.80781,0.67124,0.75677,0.50558,1.08572,0.86497,1.02765,0.006634,0.006634,0.006634
19,20602.4,0.91477,0.77664,1.06122,0.80967,0.67509,0.76006,0.50835,1.0822,0.85703,1.02509,0.006436,0.006436,0.006436
20,21687,0.90987,0.76874,1.05939,0.80945,0.67837,0.76199,0.51106,1.07775,0.85059,1.02253,0.006238,0.006238,0.006238
21,22763.5,0.9079,0.76454,1.05877,0.81149,0.6812,0.76479,0.51365,1.07384,0.84355,1.02012,0.00604,0.00604,0.00604
