epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1008,1.58866,4.08322,1.57938,0.00228,0.33586,0.02692,0.01357,1.9739,3.79609,1.59684,0.0705455,0.00327273,0.00327273
2,27.9742,1.46242,3.03187,1.46044,0.63813,0.04307,0.05669,0.0201,2.3864,3.44439,1.98558,0.0404147,0.00647526,0.00647526
3,40.6037,1.56153,2.77416,1.49159,0.1403,0.2539,0.06123,0.02279,2.45806,5.27509,2.17204,0.0101519,0.00954579,0.00954579
4,53.2421,1.62589,2.60333,1.55005,0.14707,0.13547,0.06576,0.02627,2.46847,3.84059,2.14928,0.009406,0.009406,0.009406
5,66.3566,1.59656,2.37512,1.48299,0.24919,0.25471,0.12983,0.05453,2.20032,5.25957,2.04478,0.009208,0.009208,0.009208
6,79.0365,1.54814,2.22161,1.4768,0.29725,0.27165,0.23269,0.10381,2.05016,3.13533,1.84374,0.00901,0.00901,0.00901
7,91.7579,1.51597,2.1177,1.44377,0.21714,0.24216,0.15351,0.05883,2.17479,2.88213,1.81964,0.008812,0.008812,0.008812
8,104.533,1.48565,1.98171,1.42582,0.23905,0.33771,0.21694,0.10066,2.01177,2.6571,1.77044,0.008614,0.008614,0.008614
9,117.291,1.46089,1.9178,1.4046,0.37067,0.28972,0.2531,0.12499,1.93227,2.77744,1.62671,0.008416,0.008416,0.008416
10,129.731,1.45383,1.87069,1.37445,0.41299,0.3673,0.32814,0.14735,1.89754,2.15473,1.57202,0.008218,0.008218,0.008218
11,142.38,1.4047,1.76883,1.36235,0.31155,0.2613,0.21417,0.10369,1.92066,2.48782,1.66883,0.00802,0.00802,0.00802
12,154.833,1.37377,1.70767,1.34829,0.39995,0.32877,0.2968,0.14131,1.94951,2.34803,1.72697,0.007822,0.007822,0.007822
13,167.37,1.38945,1.69073,1.34978,0.47231,0.37251,0.36281,0.18982,1.81654,2.116,1.55412,0.007624,0.007624,0.007624
14,179.935,1.38841,1.66823,1.34872,0.48056,0.3559,0.3622,0.18242,1.83499,1.97726,1.55694,0.007426,0.007426,0.007426
15,192.39,1.33037,1.58801,1.32632,0.48729,0.30821,0.33472,0.17139,1.8663,2.10645,1.5915,0.007228,0.007228,0.007228
16,204.74,1.31969,1.55735,1.30837,0.50495,0.32257,0.31282,0.15362,1.84486,2.2233,1.55942,0.00703,0.00703,0.00703
17,217.281,1.31578,1.53557,1.30903,0.47325,0.43288,0.39617,0.20556,1.7242,2.08851,1.51138,0.006832,0.006832,0.006832
18,229.63,1.28483,1.48847,1.30301,0.49362,0.3613,0.37328,0.20506,1.74877,1.97539,1.52094,0.006634,0.006634,0.006634
19,242.35,1.29249,1.48484,1.28765,0.55255,0.39086,0.41432,0.23478,1.60024,1.77241,1.43161,0.006436,0.006436,0.006436
20,254.941,1.25746,1.48287,1.27709,0.48105,0.40373,0.39329,0.20762,1.7414,1.89249,1.55837,0.006238,0.006238,0.006238
21,267.138,1.21255,1.37755,1.24741,0.55057,0.42731,0.39985,0.2007,1.75895,1.87511,1.5371,0.00604,0.00604,0.00604
22,279.878,1.22358,1.36998,1.25723,0.55644,0.39646,0.41786,0.22461,1.68248,1.84285,1.48545,0.005842,0.005842,0.005842
23,292.383,1.24939,1.40893,1.26717,0.50472,0.46047,0.43553,0.23146,1.74479,1.77739,1.5121,0.005644,0.005644,0.005644
24,305.006,1.21386,1.35052,1.25094,0.54504,0.41278,0.40679,0.21083,1.7817,1.93725,1.55565,0.005446,0.005446,0.005446
25,317.441,1.21812,1.31121,1.24937,0.5559,0.43942,0.45087,0.25391,1.63575,1.7638,1.42852,0.005248,0.005248,0.005248
26,330.012,1.19774,1.31306,1.23439,0.51202,0.4331,0.42814,0.2378,1.63932,1.74381,1.42505,0.00505,0.00505,0.00505
27,342.579,1.18804,1.27757,1.23733,0.65461,0.4098,0.46271,0.26315,1.61437,1.73081,1.40472,0.004852,0.004852,0.004852
28,355.441,1.17802,1.28312,1.2312,0.58494,0.43616,0.46272,0.25586,1.61919,1.71057,1.43401,0.004654,0.004654,0.004654
29,368.295,1.14085,1.25037,1.22009,0.61583,0.42854,0.46677,0.24797,1.59858,1.75486,1.44442,0.004456,0.004456,0.004456
30,381.1,1.15504,1.25204,1.21397,0.65404,0.44822,0.47728,0.26522,1.64636,1.70199,1.4348,0.004258,0.004258,0.004258
31,393.475,1.12005,1.16368,1.19125,0.66939,0.42334,0.46212,0.26908,1.6183,1.73924,1.41404,0.00406,0.00406,0.00406
32,405.966,1.13675,1.2047,1.19576,0.52615,0.4854,0.48981,0.27182,1.58301,1.6794,1.42679,0.003862,0.003862,0.003862
33,418.161,1.10698,1.15945,1.18985,0.60944,0.49455,0.49906,0.28419,1.6121,1.61542,1.40957,0.003664,0.003664,0.003664
34,430.956,1.07057,1.10789,1.1723,0.58654,0.52628,0.53134,0.30712,1.55996,1.52293,1.38555,0.003466,0.003466,0.003466
35,443.762,1.08897,1.09401,1.17758,0.6017,0.50818,0.49068,0.27942,1.57773,1.58835,1.39036,0.003268,0.003268,0.003268
36,456.332,1.07895,1.10799,1.18269,0.63339,0.49602,0.5087,0.29242,1.54165,1.55049,1.40547,0.00307,0.00307,0.00307
37,469.389,1.05248,1.0647,1.15719,0.61834,0.47551,0.50099,0.29341,1.57001,1.6047,1.39703,0.002872,0.002872,0.002872
38,481.512,1.0524,1.07442,1.16731,0.59672,0.50964,0.52007,0.30431,1.52728,1.54979,1.36407,0.002674,0.002674,0.002674
39,494.064,1.03761,1.0395,1.15045,0.60232,0.51706,0.53365,0.31167,1.51217,1.53011,1.35932,0.002476,0.002476,0.002476
40,506.432,1.02304,1.02721,1.13953,0.64377,0.49122,0.51679,0.3042,1.53037,1.57507,1.35906,0.002278,0.002278,0.002278
41,523.057,1.11173,1.10022,1.19279,0.66001,0.46881,0.51354,0.28987,1.55034,1.57511,1.38597,0.00208,0.00208,0.00208
42,535.463,1.10174,1.07276,1.18892,0.61901,0.51183,0.52033,0.29725,1.56785,1.55119,1.39751,0.001882,0.001882,0.001882
43,547.664,1.08055,1.01907,1.16229,0.63001,0.47558,0.50183,0.27718,1.57102,1.61024,1.40548,0.001684,0.001684,0.001684
44,559.866,1.04508,0.98584,1.14249,0.69389,0.5011,0.55099,0.31514,1.51783,1.46943,1.35703,0.001486,0.001486,0.001486
45,572.35,1.04429,0.96339,1.14612,0.68939,0.52732,0.55697,0.32199,1.51971,1.48284,1.36376,0.001288,0.001288,0.001288
46,584.422,1.02135,0.94181,1.12459,0.68586,0.5285,0.55732,0.31686,1.49414,1.47215,1.35778,0.00109,0.00109,0.00109
47,596.609,1.00344,0.9095,1.1209,0.62706,0.52372,0.53298,0.31335,1.51607,1.47504,1.37077,0.000892,0.000892,0.000892
48,608.69,0.99473,0.89433,1.11059,0.63847,0.5453,0.54183,0.32079,1.50627,1.46253,1.37465,0.000694,0.000694,0.000694
49,621.026,0.97384,0.87888,1.09841,0.68695,0.5402,0.56192,0.32984,1.49359,1.43466,1.34579,0.000496,0.000496,0.000496
50,633.562,0.95647,0.86489,1.09787,0.64209,0.54656,0.55833,0.32736,1.49587,1.45125,1.35029,0.000298,0.000298,0.000298
